score	date	version
11932	NA	1
10791	NA	1
8939	NA	1
5465	NA	1
5165	NA	1
10959	NA	1
9805	NA	1
10522	NA	1
11055	NA	1
11131	NA	1
11286	NA	1
10726	NA	1
6572	NA	1
10610	NA	1
11018	NA	1
11056	NA	1
11201	NA	1
10787	NA	1
10796	NA	1
10462	NA	1
10494	NA	1
4851	NA	1
10692	NA	1
10296	NA	1
11483	NA	1
10254	NA	1
10063	NA	1
8171	NA	1
11270	NA	1
9553	NA	1
11106	NA	1
7884	NA	1
11236	NA	1
10329	NA	1
10501	NA	1
11200	NA	1
10240	NA	1
9877	NA	1
10695	NA	1
11210	NA	1
11553	NA	1
997	NA	1
10242	NA	1
10430	NA	1
10396	NA	1
9746	NA	1
10007	NA	1
10187	NA	1
10810	NA	1
10842	NA	1
863	NA	1
9901	NA	1
11458	NA	1
11608	NA	1
10544	NA	1
10113	NA	1
11327	NA	1
9272	NA	1
11674	NA	1
10168	NA	1
10297	NA	1
8923	NA	1
10660	NA	1
10661	NA	1
10857	NA	1
11057	NA	1
6785	NA	1
6457	NA	1
1547	NA	1
10326	NA	1
9918	NA	1
10417	NA	1
6246	NA	1
11018	NA	1
10291	NA	1
10632	NA	1
10894	NA	1
7209	NA	1
11396	NA	1
10895	NA	1
9114	NA	1
6777	NA	1
10967	NA	1
7330	NA	1
11019	NA	1
5790	NA	1
6574	NA	1
5437	NA	1
10358	NA	1
7696	NA	1
10767	NA	1
10925	NA	1
11194	NA	1
10039	NA	1
9995	NA	1
1299	NA	1
9699	NA	1
7103	NA	1
11234	NA	1
52	NA	1
7472	NA	1
10441	NA	1
9957	NA	1
10729	NA	1
11211	NA	1
10551	NA	1
10269	NA	1
10365	NA	1
10754	NA	1
10392	NA	1
6041	NA	1
10443	NA	1
7170	NA	1
9400	NA	1
10639	NA	1
11881	NA	1
5586	NA	1
10998	NA	1
9857	NA	1
10902	NA	1
11082	NA	1
10763	NA	1
11377	NA	1
3114	NA	1
11019	NA	1
10857	NA	1
10661	NA	1
7838	NA	1
7861	NA	1
8528	NA	1
11369	NA	1
10992	NA	1
10920	NA	1
10782	NA	1
6421	NA	1
9508	NA	1
10924	NA	1
10070	NA	1
11359	NA	1
10880	NA	1
8330	NA	1
11265	NA	1
9559	NA	1
6589	NA	1
11238	NA	1
9307	NA	1
10013	NA	1
11467	NA	1
9652	NA	1
11237	NA	1
10980	NA	1
7281	NA	1
7909	NA	1
11503	NA	1
10811	NA	1
10815	NA	1
10230	NA	1
11626	NA	1
9338	NA	1
10758	NA	1
9954	NA	1
9324	NA	1
11270	NA	1
11394	NA	1
6586	NA	1
9933	NA	1
11324	NA	1
10294	NA	1
10883	NA	1
10630	NA	1
11443	NA	1
11673	NA	1
11117	NA	1
9419	NA	1
11308	NA	2
11453	NA	2
10676	NA	2
8185	NA	2
11426	NA	2
11245	NA	2
9822	NA	2
6001	NA	2
10789	NA	2
9008	NA	2
11524	NA	2
10238	NA	2
9915	NA	2
9134	NA	2
11108	NA	2
10764	NA	2
11000	NA	2
11241	NA	2
11981	NA	2
10793	NA	2
11082	NA	2
11497	NA	2
11042	NA	2
10766	NA	2
10850	NA	2
11791	NA	2
10059	NA	2
11514	NA	2
8254	NA	2
11252	NA	2
7347	NA	2
10842	NA	2
11256	NA	2
8798	NA	2
10914	NA	2
10885	NA	2
10745	NA	2
10128	NA	2
11051	NA	2
9089	NA	2
9291	NA	2
7320	NA	2
10347	NA	2
394	NA	2
10895	NA	2
10616	NA	2
10416	NA	2
11582	NA	2
5778	NA	2
11051	NA	2
11061	NA	2
9842	NA	2
11569	NA	2
11482	NA	2
9647	NA	2
10009	NA	2
11289	NA	2
11335	NA	2
11352	NA	2
10727	NA	2
11546	NA	2
11519	NA	2
11143	NA	2
11164	NA	2
11233	NA	2
11612	NA	2
11681	NA	2
11712	NA	2
11885	NA	2
11450	NA	2
11068	NA	2
10166	NA	2
9967	NA	2
11133	NA	2
11402	NA	2
8410	NA	2
11303	NA	2
6731	NA	2
11090	NA	2
0	NA	2
10995	NA	2
11103	NA	2
11022	NA	2
11163	NA	2
10760	NA	2
11516	NA	2
9945	NA	2
11222	NA	2
9935	NA	2
8504	NA	2
9752	NA	2
10015	NA	2
10396	NA	2
619	NA	2
11225	NA	2
11073	NA	2
10038	NA	2
10514	NA	2
11396	NA	2
10319	NA	2
10224	NA	2
11433	NA	2
9889	NA	2
10791	NA	2
10756	NA	2
8716	NA	2
10912	NA	2
11070	NA	2
8624	NA	2
11289	NA	2
9859	NA	2
11185	NA	2
11510	NA	2
10846	NA	2
10806	NA	2
11385	NA	2
11248	NA	2
11004	NA	2
10714	NA	2
10062	NA	2
1475	NA	2
10820	NA	2
9950	NA	2
11684	NA	2
11332	NA	2
8603	NA	2
6540	NA	2
9634	NA	2
11080	NA	2
11235	NA	2
5618	NA	2
11383	NA	2
5305	NA	2
8435	NA	2
10046	NA	2
10534	NA	2
11749	NA	2
11387	NA	2
10580	NA	2
4621	NA	2
9247	NA	2
10386	NA	2
3301	NA	2
7426	NA	2
11569	NA	2
11404	NA	2
10282	NA	2
7286	NA	2
10400	NA	2
10921	NA	2
10781	NA	2
6125	NA	2
11700	NA	2
11441	NA	2
7308	NA	2
10755	NA	2
10307	NA	2
11410	NA	2
11203	NA	2
11188	NA	2
8293	NA	2
8543	NA	2
6418	NA	2
11074	NA	2
11287	NA	2
11044	NA	2
10863	NA	2
11686	NA	2
6354	NA	2
11596	NA	2
11407	NA	2
11116	NA	2
6544	NA	2
10679	NA	2
11218	NA	2
11223	NA	2
11222	NA	2
11166	NA	2
6752	NA	2
11020	NA	2
10221	NA	2
10901	NA	2
10555	NA	2
10890	NA	2
8690	NA	2
7114	NA	2
10470	NA	2
4571	NA	2
10979	NA	2
11820	NA	2
11186	NA	2
8423	NA	2
10888	NA	2
6195	NA	2
10861	NA	2
6452	NA	2
9910	NA	2
9716	NA	2
11097	NA	2
7568	NA	2
10804	NA	2
7870	NA	2
9444	NA	2
9192	NA	2
11026	NA	2
11467	NA	2
9975	NA	2
11533	NA	2
10416	NA	2
11043	NA	2
10778	NA	2
9446	NA	2
11574	NA	2
11401	NA	2
10927	NA	2
11404	NA	2
10980	NA	2
10405	NA	2
8726	NA	2
10029	NA	2
8324	NA	2
11105	NA	2
10759	NA	2
9829	NA	2
11637	NA	2
9393	NA	2
11357	NA	2
6979	NA	2
10928	NA	2
8983	NA	2
10031	NA	2
9508	NA	2
9327	NA	2
11439	NA	2
10706	NA	2
11378	NA	2
11382	NA	2
11185	NA	2
8588	NA	2
7536	NA	2
7986	NA	2
10997	NA	2
10951	NA	2
8516	NA	2
8834	NA	2
7530	NA	2
10851	NA	2
11638	NA	2
10767	NA	2
10867	NA	2
11141	NA	2
10869	NA	2
10762	NA	2
11446	NA	2
10997	NA	2
10963	NA	2
10761	NA	2
10602	NA	2
8609	NA	2
8816	NA	2
10998	NA	2
7984	NA	2
11201	NA	2
9582	NA	2
10916	NA	2
11773	NA	2
11585	NA	2
7617	NA	2
10551	NA	2
7736	NA	2
11739	NA	2
11109	NA	2
0	NA	2
10404	NA	2
11686	NA	2
11245	NA	2
11555	NA	2
10457	NA	2
10899	NA	2
